name,mac address,encryption,lat,lon
headstart,00:02:6F:DC:03:E6,WPA+AES-CCM WPA+PSK,32.492699,-92.123914
VIVINT_ODC_(58:73:18),00:02:D1:58:73:18,None,32.492546,-92.167597
VIVINT_ODC_(58:A0:E9),00:02:D1:58:A0:E9,None,32.492867,-92.167292
ALARM (6F:CA:2A),00:02:D1:6F:CA:2A,None,,
Delta Packaging,00:0C:42:FD:22:1B,WPA+AES-CCM WPA+PSK,32.489472,-92.136303
GPI_NET,00:0D:8D:F0:0B:81,WEP,32.489271,-92.138800
GPI_NET,00:0D:8D:F0:0D:32,WEP,32.486987,-92.147406
GPI_NET,00:0D:8D:F0:19:38,WEP,32.487004,-92.149192
GPI_NET,00:0D:8D:F0:1C:4D,WEP,32.486757,-92.150110
GPI_NET,00:0D:8D:F0:1C:4E,WEP,32.486785,-92.147341
GPI_NET,00:0D:8D:F0:5E:ED,WEP,32.486779,-92.147226
GPI_NET,00:0D:8D:F0:69:48,WEP,32.488307,-92.138354
GPI_NET,00:0D:8D:F0:7D:1B,WEP,32.487668,-92.149652
GPI_NET,00:0D:8D:F0:93:C0,WEP,32.488842,-92.136838
7016 6364,00:0F:CC:E0:E3:38,WEP,32.488428,-92.162284
ALLPHASE,00:14:BF:2A:43:2B,WPA+AES-CCM WPA+PSK WPA+TKIP,32.488083,-92.144688
secure,00:16:01:16:68:16,WPA+PSK WPA+TKIP,32.487053,-92.153503
linksys,00:16:B6:35:ED:58,None,32.487900,-92.138763
None,00:18:0A:84:D0:89,WPA+AES-CCM WPA+PSK,32.486589,-92.147877
VIZIOCastDisplay7045,00:19:9D:FF:0E:6E,None,32.487087,-92.153900
VIZIOCastDisplay7769,00:19:9D:FF:98:55,None,32.491924,-92.165802
linksys,00:1C:10:68:E3:6F,None,32.487056,-92.153879
MillPolice,00:1D:7E:D2:CD:37,WPA+PSK WPA+TKIP,32.486984,-92.152657
Twin City 21,00:1D:D0:6B:F1:90,WPA+AES-CCM WPA+PSK WPA+TKIP,32.491904,-92.169005
HONEY BEE,00:22:3F:29:EE:CE,WPA+PSK WPA+TKIP,32.487133,-92.156059
wmpd,00:22:B0:B0:1A:23,WPA+PSK WPA+TKIP,,
INTERMEC,00:22:BD:9A:43:00,WEP,32.486887,-92.147038
INTERMEC,00:22:BD:9A:56:60,WEP,32.486630,-92.147717
INTERMEC,00:22:BD:9A:6A:50,WEP,32.486798,-92.148013
INTERMEC,00:22:BD:9A:7D:50,WEP,32.486893,-92.146835
ledsigns_new,00:23:28:06:3A:68,WPA+PSK WPA+TKIP,32.487015,-92.147501
seiglecommunity,00:24:37:1E:4F:60,WEP,32.491911,-92.170665
